"Year","Age","sex","Mortality_Rate"
1990,90,2,0.768694
1990,91,1,1.086926
1990,91,2,0.768694
1990,92,1,1.086926
1990,92,2,0.768694
1990,93,1,1.086926
1990,93,2,0.768694
1990,94,1,1.086926
1990,94,2,0.768694
1990,95,1,1.086926
1990,95,2,0.768694
1990,96,1,1.086926
1990,96,2,0.768694
1990,97,1,1.086926
1990,97,2,0.768694
1990,98,1,1.086926
1990,98,2,0.768694
1990,99,1,1.086926
1990,99,2,0.768694
1990,100,1,1.086926
1990,100,2,0.768694
1990,101,1,1.086926
1990,101,2,0.768694
1990,102,1,1.086926
1990,102,2,0.768694
1990,103,1,1.086926
1990,103,2,0.768694
1991,1,1,6.55e-05
1991,1,2,6.69e-06
1991,2,1,6.73e-05
1991,2,2,1.74e-05
1991,3,1,6.91e-05
1991,3,2,2.82e-05
1991,4,1,7.09e-05
1991,4,2,3.9e-05
1991,5,1,7.28e-05
1991,5,2,4.97e-05
1991,6,1,8.37e-05
1991,6,2,4.39e-05
1991,7,1,9.46e-05
1991,7,2,3.81e-05
1991,8,1,0.000106
1991,8,2,3.23e-05
1991,9,1,0.000116
1991,9,2,2.64e-05
1991,10,1,0.000127
1991,10,2,2.06e-05
1991,11,1,0.000235
1991,11,2,7.71e-05
1991,12,1,0.000343
1991,12,2,0.000134
1991,13,1,0.000451
1991,13,2,0.00019
1991,14,1,0.000559
1991,14,2,0.000246
1991,15,1,0.000667
1991,15,2,0.000303
1991,16,1,0.000719
1991,16,2,0.000333
1991,17,1,0.00077
1991,17,2,0.000364
1991,18,1,0.000821
1991,18,2,0.000394
1991,19,1,0.000873
1991,19,2,0.000424
1991,20,1,0.000924
1991,20,2,0.000455
1991,21,1,0.00113
1991,21,2,0.000484
1991,22,1,0.00133
1991,22,2,0.000513
1991,23,1,0.00154
1991,23,2,0.000542
1991,24,1,0.00174
1991,24,2,0.000571
1991,25,1,0.00195
1991,25,2,0.000601
1991,26,1,0.00211
1991,26,2,0.000741
1991,27,1,0.00228
1991,27,2,0.000881
1991,28,1,0.00244
1991,28,2,0.00102
1991,29,1,0.00261
1991,29,2,0.00116
1991,30,1,0.00277
1991,30,2,0.0013
1991,31,1,0.00385
1991,31,2,0.00155
1991,32,1,0.00492
1991,32,2,0.00179
1991,33,1,0.00599
1991,33,2,0.00204
1991,34,1,0.00707
1991,34,2,0.00228
1991,35,1,0.00814
1991,35,2,0.00253
1991,36,1,0.00978
1991,36,2,0.00291
1991,37,1,0.0114247
1991,37,2,0.00329
1991,38,1,0.0130669
1991,38,2,0.00368
1991,39,1,0.014709
1991,39,2,0.00406
1991,40,1,0.0163512
1991,40,2,0.00444
1991,41,1,0.0189876
1991,41,2,0.00498
1991,42,1,0.021624
1991,42,2,0.00552
1991,43,1,0.0242604
1991,43,2,0.00605
1991,44,1,0.0268968
1991,44,2,0.00659
1991,45,1,0.0295332
1991,45,2,0.00713
1991,46,1,0.033372
1991,46,2,0.00818
1991,47,1,0.0372107
1991,47,2,0.00922
1991,48,1,0.0410495
1991,48,2,0.0102665
1991,49,1,0.0448882
1991,49,2,0.011312
1991,50,1,0.048727
1991,50,2,0.0123576
1991,51,1,0.0551113
1991,51,2,0.0151731
1991,52,1,0.0614956
