"Year","Age","sex","Mortality_Rate"
1992,37,1,0.00675829
1992,37,2,0.005441231
1992,38,1,0.006942758
1992,38,2,0.005489853
1992,39,1,0.007127225
1992,39,2,0.005538474
1992,40,1,0.007311692
1992,40,2,0.005587096
1992,41,1,0.007681052
1992,41,2,0.005808856
1992,42,1,0.008050411
1992,42,2,0.006030616
1992,43,1,0.008419771
1992,43,2,0.006252376
1992,44,1,0.00878913
1992,44,2,0.006474136
1992,45,1,0.00915849
1992,45,2,0.006695896
1992,46,1,0.009588894
1992,46,2,0.007164945
1992,47,1,0.010019299
1992,47,2,0.007633994
1992,48,1,0.010449703
1992,48,2,0.008103042
1992,49,1,0.010880108
1992,49,2,0.008572091
1992,50,1,0.011310512
1992,50,2,0.00904114
1992,51,1,0.012136922
1992,51,2,0.009758532
1992,52,1,0.012963333
1992,52,2,0.010475925
1992,53,1,0.013789743
1992,53,2,0.011193317
1992,54,1,0.014616154
1992,54,2,0.01191071
1992,55,1,0.015442564
1992,55,2,0.012628102
1992,56,1,0.016947682
1992,56,2,0.014099883
1992,57,1,0.018452801
1992,57,2,0.015571664
1992,58,1,0.019957919
1992,58,2,0.017043444
1992,59,1,0.021463038
1992,59,2,0.018515225
1992,60,1,0.022968156
1992,60,2,0.019987006
1992,61,1,0.025136706
1992,61,2,0.02184314
1992,62,1,0.027305257
1992,62,2,0.023699274
1992,63,1,0.029473807
1992,63,2,0.025555408
1992,64,1,0.031642358
1992,64,2,0.027411542
1992,65,1,0.033810908
1992,65,2,0.029267676
1992,66,1,0.037552876
1992,66,2,0.032869062
1992,67,1,0.041294845
1992,67,2,0.036470449
1992,68,1,0.045036813
1992,68,2,0.040071835
1992,69,1,0.048778782
1992,69,2,0.043673222
1992,70,1,0.05252075
1992,70,2,0.047274608
1992,71,1,0.057778003
1992,71,2,0.052140564
1992,72,1,0.063035256
1992,72,2,0.057006519
1992,73,1,0.06829251
1992,73,2,0.061872475
1992,74,1,0.073549763
1992,74,2,0.06673843
1992,75,1,0.078807016
1992,75,2,0.071604386
1992,76,1,0.094699787
1992,76,2,0.087168858
1992,77,1,0.110592558
1992,77,2,0.102733331
1992,78,1,0.12648533
1992,78,2,0.118297803
1992,79,1,0.142378101
1992,79,2,0.133862276
1992,80,1,0.158270872
1992,80,2,0.149426748
1992,81,1,0.158270872
1992,81,2,0.149426748
1992,82,1,0.158270872
1992,82,2,0.149426748
1992,83,1,0.158270872
1992,83,2,0.149426748
1992,84,1,0.158270872
1992,84,2,0.149426748
1992,85,1,0.158270872
1992,85,2,0.149426748
1992,86,1,0.158270872
1992,86,2,0.149426748
1992,87,1,0.158270872
1992,87,2,0.149426748
1992,88,1,0.158270872
1992,88,2,0.149426748
1992,89,1,0.158270872
1992,89,2,0.149426748
1992,90,1,0.158270872
1992,90,2,0.149426748
1992,91,1,0.158270872
1992,91,2,0.149426748
1992,92,1,0.158270872
1992,92,2,0.149426748
1992,93,1,0.158270872
1992,93,2,0.149426748
1992,94,1,0.158270872
1992,94,2,0.149426748
1992,95,1,0.158270872
1992,95,2,0.149426748
1992,96,1,0.158270872
1992,96,2,0.149426748
1992,97,1,0.158270872
1992,97,2,0.149426748
1992,98,1,0.158270872
1992,98,2,0.149426748
1992,99,1,0.158270872
1992,99,2,0.149426748
1992,100,1,0.158270872
1992,100,2,0.149426748
1992,101,1,0.158270872
1992,101,2,0.149426748
1992,102,1,0.158270872
1992,102,2,0.149426748
1992,103,1,0.158270872
1992,103,2,0.149426748
1993,1,1,0.00911952
1993,1,2,0.008222868
1993,2,1,0.007298564
1993,2,2,0.006596726
1993,3,1,0.005477608
1993,3,2,0.004970583
1993,4,1,0.003656652
1993,4,2,0.003344441
1993,5,1,0.001835696
1993,5,2,0.001718298
1993,6,1,0.001713434
1993,6,2,0.001587367
1993,7,1,0.001591173
1993,7,2,0.001456436
1993,8,1,0.001468911
1993,8,2,0.001325506
1993,9,1,0.00134665
1993,9,2,0.001194575
1993,10,1,0.001224388
1993,10,2,0.001063644
1993,11,1,0.001265619
1993,11,2,0.001148164
1993,12,1,0.00130685
1993,12,2,0.001232684
1993,13,1,0.00134808
1993,13,2,0.001317204
1993,14,1,0.001389311
1993,14,2,0.001401724
1993,15,1,0.001430542
1993,15,2,0.001486244
1993,16,1,0.001607676
1993,16,2,0.001785402
1993,17,1,0.00178481
1993,17,2,0.002084559
1993,18,1,0.001961944
1993,18,2,0.002383717
1993,19,1,0.002139078
1993,19,2,0.002682874
1993,20,1,0.002316212
1993,20,2,0.002982032
1993,21,1,0.002661394
1993,21,2,0.00331539
1993,22,1,0.003006575
1993,22,2,0.003648747
1993,23,1,0.003351757
1993,23,2,0.003982105
1993,24,1,0.003696938
1993,24,2,0.004315462
1993,25,1,0.00404212
1993,25,2,0.00464882
1993,26,1,0.004412594
1993,26,2,0.004820762
1993,27,1,0.004783068
1993,27,2,0.004992704
1993,28,1,0.005153542
1993,28,2,0.005164646
1993,29,1,0.005524016
1993,29,2,0.005336588
1993,30,1,0.00589449
1993,30,2,0.00550853
1993,31,1,0.006160417
1993,31,2,0.005604426
1993,32,1,0.006426344
1993,32,2,0.005700323
1993,33,1,0.00669227
1993,33,2,0.005796219
1993,34,1,0.006958197
1993,34,2,0.005892116
1993,35,1,0.007224124
1993,35,2,0.005988012
1993,36,1,0.007398757
1993,36,2,0.005990476
1993,37,1,0.00757339
1993,37,2,0.005992941
1993,38,1,0.007748022
1993,38,2,0.005995405
1993,39,1,0.007922655
1993,39,2,0.00599787
1993,40,1,0.008097288
1993,40,2,0.006000334
1993,41,1,0.00844453
1993,41,2,0.006188836
1993,42,1,0.008791773
1993,42,2,0.006377338
1993,43,1,0.009139015
1993,43,2,0.00656584
1993,44,1,0.009486258
1993,44,2,0.006754342
1993,45,1,0.0098335
1993,45,2,0.006942844
1993,46,1,0.010194234
1993,46,2,0.007380255
1993,47,1,0.010554967
1993,47,2,0.007817666
1993,48,1,0.010915701
1993,48,2,0.008255078
1993,49,1,0.011276434
